"";"Open.thyssenkruppStock";"High.thyssenkruppStock";"Low.thyssenkruppStock";"Close.thyssenkruppStock";"Volume.thyssenkruppStock";"Open.SalzgitterStock";"High.SalzgitterStock";"Low.SalzgitterStock";"Close.SalzgitterStock";"Volume.SalzgitterStock";"Open.DAXIndex";"High.DAXIndex";"Low.DAXIndex";"Close.DAXIndex";"Volume.DAXIndex"
"102";21,35;22,2;21,35;21,995;5495600;52,05;53,5;51,57;53,24;1038200;5802,640137;5952,209961;5802,359863;5937,140137;56115700
"103";22,2;22,55;21,96;22,025;3582800;53,69;53,69;52,1;52,24;582900;5962,839844;5980,779785;5927,310059;5946,180176;30768600
"104";21,91;22,275;21,9;21,945;1606000;52,13;53,1;52,13;52,54;230400;5933,580078;5993,939941;5931,200195;5964,330078;12898800
"105";21,895;22,035;21,225;21,87;3487200;52,5;52,64;50,58;52,03;654500;5943,939941;6012,040039;5833,609863;5981,27002;32624200
"106";21,635;21,875;21,375;21,75;2252900;51,6;51,74;50,66;51,55;631500;5923,47998;5992,209961;5869,350098;5981,200195;27324700
"107";22,11;22,35;21,845;21,86;2332900;52,4;52,87;51,11;51,25;527900;6075,680176;6101,830078;6046,379883;6054,629883;27857500
"108";21,92;22,015;21,145;21,395;3526800;51,44;51,66;49,73;49,855;775600;6081,470215;6114,580078;5912,899902;5938,879883;36808500
"109";21,1;21,135;20,5;20,68;5529700;49,25;49,785;48,64;49,28;571200;5876,47998;5954,470215;5851,930176;5904,950195;32367400
"110";20,8;20,94;20,225;20,465;3321300;49,475;49,825;48,06;48,64;504400;5916,859863;5922,950195;5798,759766;5868,549805;47791900
"111";20,775;20,96;20,255;20,94;3299900;48,305;49,02;47,5;48,955;870800;5895,939941;5993,930176;5832,970215;5984,75;33300400
"112";20,9;21,565;20,64;21,29;4152000;48,7;49,67;48,12;49,01;744500;5959,109863;6089,430176;5925,060059;6056,589844;36840800
"113";21,44;21,44;20,76;21,055;5024300;49,25;49,88;48,55;49,185;628600;6082,899902;6084,700195;5983,27002;6047,830078;35919300
"114";21,245;21,725;21,245;21,555;3976400;50,15;51,34;50,15;51,34;594100;6113,459961;6137,25;6093,379883;6125;28207400
"115";21,58;21,745;21,485;21,655;4612900;51,12;52,06;50,9;51,98;562600;6089,319824;6194,25;6089,319824;6175,049805;29784300
"116";21,9;22,1;21,71;21,87;4099300;52,4;52,57;51,19;51,78;411700;6203,009766;6207,299805;6143,180176;6190,910156;32408100
"117";21,775;22,23;21,64;22;4147300;51,62;52,16;51,06;51,51;577800;6181,77002;6241,359863;6164,990234;6223,540039;31423100
"118";22,05;22,16;21,84;21,995;6276200;51,9;53,26;51,65;53;2177300;6223,879883;6256,549805;6189,709961;6216,97998;106356600
"119";22,4;22,8;22,4;22,6;5372100;53,94;54,1;53,01;53,31;612200;6320,410156;6330,810059;6263,410156;6292,970215;26997700
"120";22,4;22,52;22,165;22,395;2924200;53,2;53,23;51,78;52,39;468300;6254,859863;6295,580078;6216,390137;6269,040039;25040800
"121";22,08;22,435;21,89;22;3323500;52,29;53,19;51,37;52,2;559000;6219,200195;6271,850098;6178,839844;6204,52002;26377700
"122";22,195;22,24;21,615;21,655;2824400;52,81;52,81;51,1;51,45;418700;6232,379883;6235,47998;6097,009766;6115,47998;30445200
"123";21,66;21,805;21,125;21,3;3285000;51,4;51,58;50,03;50,4;358500;6116,22998;6149,870117;6039,560059;6070,600098;28816200
"124";21,475;21,625;21,21;21,48;2084300;50,97;51,35;50,24;51,35;266100;6097,370117;6168,990234;6059,830078;6157,220215;22344600
"125";21,2;21,21;20,59;20,63;3968500;50,73;50,73;49,23;49,45;425300;6061,680176;6068,819824;5935,350098;5952,029785;33993600
"126";20,795;20,83;20,245;20,35;3440400;49,6;49,88;48,525;48,99;450100;5972,259766;6001,029785;5938,200195;5965,52002;29491100
"127";20,06;20,38;19,675;19,815;4208200;48,8;48,8;46,975;47,32;656800;5885,609863;5953,839844;5827,25;5857,430176;37447100
"128";20,5;20,59;20,15;20,19;3581400;47,55;48,215;46,795;47,215;669100;5885,220215;5941,220215;5833,120117;5834,149902;27871200
"129";20,345;20,365;20,14;20,22;2715000;47,36;47,57;46,545;46,545;289600;5853,75;5861,049805;5809,370117;5816,200195;15694000
"130";20,42;21,37;20,31;21,16;4138100;46,67;49,23;46,67;48,71;414500;5847,470215;5995,640137;5842,069824;5940,97998;28958800
