Date;usd
02.12.1999;-0,337502802
03.12.1999;-0,418494034
06.12.1999;1,653748636
07.12.1999;0,558250311
08.12.1999;-0,02930403
09.12.1999;-0,597718697
10.12.1999;-0,33471187
13.12.1999;-0,128274723
14.12.1999;-0,892597417
15.12.1999;-0,169500016
16.12.1999;1,239664807
17.12.1999;-0,177567374
20.12.1999;-0,31645596
21.12.1999;-0,118929647
22.12.1999;-0,0992162
23.12.1999;0,14878741
24.12.1999;0,523949595
27.12.1999;-0,078911032
28.12.1999;-0,445038563
29.12.1999;-0,168642468
30.12.1999;-0,258475141
03.01.2000;0,437028904
04.01.2000;2,108437998
05.01.2000;0,609492527
06.01.2000;0,192715419
07.01.2000;-1,00620044
10.01.2000;-0,536246593
11.01.2000;0,26360767
12.01.2000;0,505739261
13.01.2000;-0,310921354
14.01.2000;-0,497537732
17.01.2000;-1,289451401
18.01.2000;-0,009907366
19.01.2000;0,11882366
20.01.2000;-0,158462943
21.01.2000;0,07926286
24.01.2000;-0,695689548
25.01.2000;-0,189668138
26.01.2000;0,109851711
27.01.2000;-0,43010819
28.01.2000;-1,29138195
31.01.2000;-0,580479251
01.02.2000;-0,830731407
02.02.2000;0,072064655
03.02.2000;0,318520691
04.02.2000;0,888531608
07.02.2000;-0,693809538
08.02.2000;1,382838507
09.02.2000;0,312547515
10.02.2000;-0,666601802
11.02.2000;-0,681277738
14.02.2000;0,671143459
15.02.2000;-0,906089172
16.02.2000;0,265550151
17.02.2000;1,16616441
18.02.2000;-0,627024708
21.02.2000;
22.02.2000;1,660081385
23.02.2000;0,457940074
24.02.2000;-1,702936074
25.02.2000;-0,862467931
28.02.2000;-1,789066842
29.02.2000;0,775077512
01.03.2000;-0,485012044
02.03.2000;0,598186602
03.03.2000;-0,680976631
06.03.2000;-0,196901457
07.03.2000;-0,488744279
08.03.2000;-0,52257644
09.03.2000;0,762047636
10.03.2000;-0,031202871
13.03.2000;1,065766206
14.03.2000;-0,992974646
15.03.2000;0,280272151
16.03.2000;0,165717283
17.03.2000;0,09309543
20.03.2000;0,443596952
21.03.2000;-0,144210985
22.03.2000;-1,015342332
23.03.2000;0,550393414
24.03.2000;0,609159903
27.03.2000;-0,030884851
28.03.2000;-0,671524813
29.03.2000;-0,822278898
30.03.2000;-0,135961952
31.03.2000;-0,02093364
03.04.2000;0,115080831
04.04.2000;-0,272222972
05.04.2000;1,405467932
06.04.2000;-0,497461903
07.04.2000;-0,635783058
10.04.2000;0,27148393
11.04.2000;0,041701418
12.04.2000;-0,187793482
13.04.2000;-0,408099766
14.04.2000;0,031451486
17.04.2000;0,34531505
18.04.2000;-0,79706767
19.04.2000;-0,379787354
20.04.2000;-0,902485289
25.04.2000;-0,792380203
26.04.2000;-1,178710592
27.04.2000;-0,32686889
28.04.2000;-0,854893413
02.05.2000;0,340640954
03.05.2000;-2,252022623
04.05.2000;0,380739542
05.05.2000;0,412693687
08.05.2000;-0,356824643
09.05.2000;0,290016935
10.05.2000;1,426620823
11.05.2000;-0,30792942
12.05.2000;-0,552243506
15.05.2000;1,298433735
16.05.2000;-0,900511247
17.05.2000;-1,59007075
18.05.2000;0,223914111
19.05.2000;-0,752094245
22.05.2000;1,398624197
23.05.2000;1,22578974
24.05.2000;-0,142786558
25.05.2000;-1,294337446
26.05.2000;1,787732449
29.05.2000;1,293144888
30.05.2000;1,041843912
31.05.2000;-0,600151839
01.06.2000;0,289808607
02.06.2000;0,267594487
05.06.2000;0,830321994
06.06.2000;0,549742372
07.06.2000;0,724831158
08.06.2000;1,186154787
09.06.2000;-1,858285022
12.06.2000;0,38912601
13.06.2000;0,586082264
14.06.2000;0,551538939
15.06.2000;-1,169115613
16.06.2000;0,429567427
19.06.2000;0,781050573
20.06.2000;-1,063728875
21.06.2000;-0,715491268
22.06.2000;-0,688744444
23.06.2000;0,085024981
26.06.2000;-0,917829282
27.06.2000;0,790264685
28.06.2000;0,148809551
29.06.2000;0,940860051
30.06.2000;0,545646684
03.07.2000;-0,661454456
04.07.2000;-0,063224449
05.07.2000;0,525653019
06.07.2000;0,05241365
07.07.2000;-0,620238519
10.07.2000;0,420920331
11.07.2000;0,041994751
12.07.2000;-0,294334282
13.07.2000;-1,59171442
14.07.2000;-0,053495962
17.07.2000;0,085579808
18.07.2000;0,010692328
19.07.2000;-1,47560435
20.07.2000;0,043393361
21.07.2000;1,539071439
