,date,year,month,weekday,day,ARTICLE,AMOUNT,WOCHENMARKT,BOCHUM_TOTAL,WAHLEN,WEIHNACHTSMARKT,ZELTFESTIVAL,KEMNADE_IN_FLAMMER,HEIMSPIEL_VFL_BOCHUM,holiday,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,tdiff
4,1/30/2015,2015,1,4,30,Käsebrötchen,35,0,0,0,0,0,0,0,0,0.4,-0.5,1.5,2.5,20,235,12.2,41.4,976.6,0,0
6,1/31/2015,2015,1,5,31,Käsebrötchen,34,0,0,0,0,0,0,0,0,1.3,-0.1,4.1,0.2,0,232,12.2,29.9,982.4,36,0.9
8,2/1/2015,2015,2,6,1,Käsebrötchen,57,0,0,0,0,0,0,0,0,1.1,0.1,2.1,1.7,0,223,8.3,25.9,991,0,-0.2
10,2/2/2015,2015,2,0,2,Käsebrötchen,32,0,0,0,0,0,0,0,0,0.6,-0.1,1.4,2.8,0,258,10.4,31.7,1000.5,0,-0.5
12,2/3/2015,2015,2,1,3,Käsebrötchen,27,1,0,0,0,0,0,0,0,0.4,-0.7,2.1,1.3,0,263,8.3,30.6,1005.1,24,-0.2
14,2/4/2015,2015,2,2,4,Käsebrötchen,26,0,0,0,0,0,0,0,0,-0.7,-2.9,1.6,0,0,342,7.9,26.3,1015,24,-1.1
16,2/5/2015,2015,2,3,5,Käsebrötchen,30,1,0,0,0,0,0,0,0,-1.7,-3.3,0.3,0,0,47,13.7,46.1,1023.3,144,-1
18,2/6/2015,2015,2,4,6,Käsebrötchen,25,0,0,0,0,0,0,0,0,-1.5,-3.8,1.4,0,0,51,20.9,53.3,1028.7,432,0.2
20,2/7/2015,2015,2,5,7,Käsebrötchen,35,0,0,0,0,0,0,0,0,0.2,-4.2,3.7,0.4,0,14,11.2,36,1031.4,276,1.7
22,2/8/2015,2015,2,6,8,Käsebrötchen,54,0,0,0,0,0,0,0,0,2.7,1.7,4,0.3,0,332,14.4,41,1030.4,120,2.5
24,2/9/2015,2015,2,0,9,Käsebrötchen,20,0,0,0,0,0,0,0,0,4,2,5.5,2.4,0,285,9.7,33.1,1029.9,0,1.3
26,2/10/2015,2015,2,1,10,Käsebrötchen,26,1,0,0,0,0,0,0,0,4.7,4.1,5.4,0.1,0,346,7.6,21.2,1031.6,0,0.7
28,2/11/2015,2015,2,2,11,Käsebrötchen,26,0,0,0,0,0,0,0,0,3,-1,5.3,0,0,124,8.6,21.6,1026.8,168,-1.7
30,2/12/2015,2015,2,3,12,Käsebrötchen,43,1,0,0,0,0,0,0,0,1.9,-0.8,5.6,0,0,161,12.2,28.1,1022.4,378,-1.1
32,2/13/2015,2015,2,4,13,Käsebrötchen,35,0,0,0,0,0,0,1,0,4.4,0.8,9,0,0,166,15.8,38.2,1015.6,528,2.5
34,2/14/2015,2015,2,5,14,Käsebrötchen,26,0,0,0,0,0,0,0,0,7.1,4.4,10.9,0,0,142,17.3,37.1,1009.6,384,2.7
36,2/15/2015,2015,2,6,15,Käsebrötchen,38,0,0,0,0,0,0,0,0,3.8,0.3,7.9,0,0,69,9.4,27,1014,552,-3.3
38,2/16/2015,2015,2,0,16,Käsebrötchen,38,0,0,0,0,0,0,0,0,2.3,0.3,6,0,0,168,12.2,29.2,1019.7,546,-1.5
40,2/17/2015,2015,2,1,17,Käsebrötchen,25,1,0,0,0,0,0,0,0,1.9,-0.2,4.2,0.3,0,220,7.6,22,1032.8,0,-0.4
42,2/18/2015,2015,2,2,18,Käsebrötchen,36,0,0,0,0,0,0,0,0,2.5,0.3,5.1,0,0,190,7.2,22.3,1039.9,18,0.6
44,2/19/2015,2015,2,3,19,Käsebrötchen,22,1,0,0,0,0,0,0,0,1.3,-0.1,4.1,0,0,180,14.8,42.5,1028.9,216,-1.2
46,2/20/2015,2015,2,4,20,Käsebrötchen,34,0,0,0,0,0,0,0,0,4.6,1.2,6.6,11.8,0,190,16.6,40.7,1010.5,0,3.3
48,2/21/2015,2015,2,5,21,Käsebrötchen,30,0,0,0,0,0,0,0,0,3.4,1.6,5.8,1.6,0,227,12.6,47.5,999.4,96,-1.2
50,2/22/2015,2015,2,6,22,Käsebrötchen,41,0,0,0,0,0,0,0,0,2.4,0.4,5.2,5.1,0,214,11.5,50.8,1008.4,114,-1
52,2/23/2015,2015,2,0,23,Käsebrötchen,38,0,0,0,0,0,0,0,0,2.7,0.1,6.1,3.9,0,186,18,63,996.9,90,0.3
54,2/24/2015,2015,2,1,24,Käsebrötchen,36,1,0,0,0,0,0,0,0,3.7,1.6,5.6,5.6,0,219,16.2,49,1005.7,18,1
56,2/25/2015,2015,2,2,25,Käsebrötchen,27,0,0,0,0,0,0,0,0,3.7,1,7.4,0.7,0,203,10.4,32.8,1017.7,270,0
58,2/26/2015,2015,2,3,26,Käsebrötchen,17,1,0,0,0,0,0,0,0,5.5,2,8.5,10.5,0,171,15.5,41,1016.2,252,1.8
60,2/27/2015,2015,2,4,27,Käsebrötchen,34,0,0,0,0,0,0,1,0,4.6,0.1,7,0.9,0,315,12.2,38.2,1015.2,90,-0.9
62,2/28/2015,2015,2,5,28,Käsebrötchen,32,0,0,0,0,0,0,0,0,3.4,-1,7.9,2.5,0,187,14,49.3,1017.6,576,-1.2
64,3/1/2015,2015,3,6,1,Käsebrötchen,51,0,0,0,0,0,0,0,0,6.8,3.4,10.9,1.8,0,210,21.6,61.2,1002.8,162,3.4
66,3/2/2015,2015,3,0,2,Käsebrötchen,62,0,0,0,0,0,0,0,0,4.8,1.7,8.3,1.6,0,248,20.5,70.9,1005.9,330,-2
68,3/3/2015,2015,3,1,3,Käsebrötchen,54,1,0,0,0,0,0,0,0,3.8,1.7,7.9,2.6,0,228,17.6,64.8,1017.3,30,-1
70,3/4/2015,2015,3,2,4,Käsebrötchen,37,0,0,0,0,0,0,0,0,3.4,1.1,7.1,1.9,0,251,14.8,45.4,1025.1,126,-0.4
72,3/5/2015,2015,3,3,5,Käsebrötchen,36,1,0,0,0,0,0,0,0,4.6,2.1,7.7,0,0,284,7.6,23.8,1037.3,18,1.2
74,3/6/2015,2015,3,4,6,Käsebrötchen,46,0,0,0,0,0,0,0,0,5,2.5,7.6,0,0,220,9,22.3,1036.3,0,0.4
75,3/7/2015,2015,3,5,7,Käsebrötchen,42,0,0,0,0,0,0,0,0,7.4,2.2,13.2,0,0,181,13,34.9,1030.5,456,2.4
77,3/8/2015,2015,3,6,8,Käsebrötchen,53,0,0,0,0,0,0,0,0,11.3,6.1,17.5,0.1,0,201,10.8,33.1,1024.6,588,3.9
79,3/9/2015,2015,3,0,9,Käsebrötchen,34,0,0,0,0,0,0,0,0,8.1,5.7,11.8,0.2,0,226,6.1,19.4,1026.9,96,-3.2
81,3/10/2015,2015,3,1,10,Käsebrötchen,43,1,0,0,0,0,0,0,0,8,3.2,12.1,0.5,0,292,10.1,25.9,1028.2,216,-0.1
83,3/11/2015,2015,3,2,11,Käsebrötchen,42,0,0,0,0,0,0,0,0,5.2,1,9.7,0,0,45,8.3,21.2,1031.5,540,-2.8
85,3/12/2015,2015,3,3,12,Käsebrötchen,36,1,0,0,0,0,0,0,0,6.2,-0.5,11.6,0,0,84,11.2,30.2,1030.8,660,1
87,3/13/2015,2015,3,4,13,Käsebrötchen,16,0,0,0,0,0,0,1,0,4,-0.3,8.5,0,0,86,11.2,34.6,1026.1,498,-2.2
89,3/14/2015,2015,3,5,14,Käsebrötchen,42,0,0,0,0,0,0,0,0,2.9,0.6,4.5,0.2,0,54,13,31.7,1028,0,-1.1
91,3/15/2015,2015,3,6,15,Käsebrötchen,59,0,0,0,0,0,0,0,0,4.9,3.7,6.7,0.2,0,61,13.7,34.9,1027.2,6,2
93,3/16/2015,2015,3,0,16,Käsebrötchen,32,0,0,0,0,0,0,0,0,7.2,2.2,13,0,0,71,9.7,28.1,1024.1,618,2.3
95,3/17/2015,2015,3,1,17,Käsebrötchen,26,1,0,0,0,0,0,0,0,11.1,4.3,17.1,0,0,76,8.6,22,1024.6,642,3.9
97,3/18/2015,2015,3,2,18,Käsebrötchen,36,0,0,0,0,0,0,0,0,10.9,5.9,16.4,0,0,315,9,31,1026.3,612,-0.2
99,3/19/2015,2015,3,3,19,Käsebrötchen,32,1,0,0,0,0,0,0,0,5.4,2.9,6.9,0,0,357,7.2,18,1028.7,0,-5.5
101,3/20/2015,2015,3,4,20,Käsebrötchen,41,0,0,0,0,0,0,0,0,3.4,1,5.5,2,0,327,5.4,17.3,1025.6,0,-2
103,3/21/2015,2015,3,5,21,Käsebrötchen,38,0,0,0,0,0,0,0,0,4.2,1.4,7,6.4,0,277,10.4,34.9,1018.7,108,0.8
105,3/22/2015,2015,3,6,22,Käsebrötchen,56,0,0,0,0,0,0,0,0,3.6,1,6.2,0,0,58,15.5,42.5,1024.8,210,-0.6
107,3/23/2015,2015,3,0,23,Käsebrötchen,22,0,0,0,0,0,0,0,0,6.1,0.8,11,0,0,206,9,28.1,1016.7,534,2.5
109,3/24/2015,2015,3,1,24,Käsebrötchen,24,1,0,0,0,0,0,0,0,7.3,4.1,10.5,0.1,0,324,5.8,20.9,1008.9,156,1.2
111,3/25/2015,2015,3,2,25,Käsebrötchen,28,0,0,0,0,0,0,0,0,5.9,4.8,7,1,0,254,8.3,25.6,1006.7,0,-1.4
113,3/26/2015,2015,3,3,26,Käsebrötchen,23,1,0,0,0,0,0,0,0,5,3.5,7.6,2.3,0,236,11.9,45,1008.5,66,-0.9
115,3/27/2015,2015,3,4,27,Käsebrötchen,38,0,0,0,0,0,0,0,0,6.1,3.1,9,0.3,0,256,14.4,47.5,1017.1,36,1.1
117,3/28/2015,2015,3,5,28,Käsebrötchen,35,0,0,0,0,0,0,0,0,7.1,2.3,11.3,6,0,193,12.6,58,1017,240,1
119,3/29/2015,2015,3,6,29,Käsebrötchen,61,0,0,0,0,0,0,0,0,9.3,6.5,11.1,15.7,0,0,25.2,82.4,1000,0,2.2
121,3/30/2015,2015,3,0,30,Käsebrötchen,24,0,0,0,0,0,0,0,0,6.3,3.3,8.5,16.8,0,265,18,65.5,1004.4,312,-3
123,3/31/2015,2015,3,1,31,Käsebrötchen,70,1,0,0,0,0,0,0,0,7.7,2.9,10.7,4.4,0,256,27,83.9,1000.6,162,1.4
125,4/1/2015,2015,4,2,1,Käsebrötchen,31,0,0,0,0,0,0,0,0,4.9,1.4,7.6,9.1,0,271,18.7,61.6,1016.1,144,-2.8
127,4/2/2015,2015,4,3,2,Käsebrötchen,25,1,0,0,0,0,0,0,0,5.1,0.8,7.8,0.8,0,294,18.7,75.2,1016.4,258,0.2
129,4/3/2015,2015,4,4,3,Käsebrötchen,28,0,0,0,0,0,0,0,1,6.1,2.4,10.2,0,0,225,7.9,22,1020.4,336,1
131,4/4/2015,2015,4,5,4,Käsebrötchen,43,0,0,0,0,0,0,0,0,5.3,2,8.2,0,0,34,15.1,39.2,1018.9,276,-0.8
133,4/5/2015,2015,4,6,5,Käsebrötchen,55,0,0,0,0,0,0,0,0,5.4,-0.2,9.9,0,0,6,9.4,40,1025.7,438,0.1
134,4/6/2015,2015,4,0,6,Käsebrötchen,55,0,0,0,0,0,0,0,0,5.3,3.4,8.6,0.3,0,342,5.4,14.4,1030.9,96,-0.1
136,4/7/2015,2015,4,1,7,Käsebrötchen,32,1,0,0,0,0,0,0,0,7.3,1.7,11.6,0,0,256,6.8,28.4,1036.2,312,2
138,4/8/2015,2015,4,2,8,Käsebrötchen,22,0,0,0,0,0,0,0,0,8.4,5.1,13,0,0,30,6.1,21.2,1033.9,198,1.1
140,4/9/2015,2015,4,3,9,Käsebrötchen,37,1,0,0,0,0,0,0,0,12.7,5.3,18.6,0,0,135,7.6,20.5,1027.3,738,4.3
142,4/10/2015,2015,4,4,10,Käsebrötchen,36,0,0,0,0,0,0,0,0,15.7,8.6,21,0,0,159,7.6,26.6,1020.1,714,3
144,4/11/2015,2015,4,5,11,Käsebrötchen,32,0,0,0,0,0,0,0,0,11.1,4.7,14.4,0.3,0,219,14.8,55.4,1020.1,72,-4.6
146,4/12/2015,2015,4,6,12,Käsebrötchen,41,0,0,0,0,0,0,1,0,10.2,4.2,14.7,0.1,0,207,15.5,46.1,1027.8,666,-0.9
148,4/13/2015,2015,4,0,13,Käsebrötchen,31,0,0,0,0,0,0,0,0,9.3,6.3,12.7,0,0,302,10.1,41,1030.6,576,-0.9
150,4/14/2015,2015,4,1,14,Käsebrötchen,26,1,0,0,0,0,0,0,0,13.5,5.4,21,0,0,220,11.5,43.6,1026,726,4.2
152,4/15/2015,2015,4,2,15,Käsebrötchen,33,0,0,0,0,0,0,0,0,16.6,10.8,22.8,0,0,240,11.9,38.5,1017.5,732,3.1
154,4/16/2015,2015,4,3,16,Käsebrötchen,29,1,0,0,0,0,0,0,0,11,6.8,16.1,0,0,24,13,35.3,1015.9,672,-5.6
156,4/17/2015,2015,4,4,17,Käsebrötchen,37,0,0,0,0,0,0,0,0,8.3,5.3,12.8,0,0,28,16.2,33.8,1018.9,324,-2.7
158,4/18/2015,2015,4,5,18,Käsebrötchen,35,0,0,0,0,0,0,0,0,8.7,3.5,13.3,0,0,45,11.5,39.2,1026.5,780,0.4
160,4/19/2015,2015,4,6,19,Käsebrötchen,57,0,0,0,0,0,0,0,0,9.6,3.2,15.2,0,0,44,10.1,29.5,1023.1,720,0.9
162,4/20/2015,2015,4,0,20,Käsebrötchen,27,0,0,0,0,0,0,0,0,12.7,6.2,18.1,0,0,48,12.6,33.1,1027.7,780,3.1
164,4/21/2015,2015,4,1,21,Käsebrötchen,34,1,0,0,0,0,0,0,0,13.3,5.5,20.5,0,0,358,10.8,31.7,1030.6,786,0.6
166,4/22/2015,2015,4,2,22,Käsebrötchen,29,0,0,0,0,0,0,0,0,8.7,4.4,14.5,0,0,9,11.5,29.5,1027.9,378,-4.6
168,4/23/2015,2015,4,3,23,Käsebrötchen,31,1,0,0,0,0,0,0,0,10.5,4.8,16,0,0,15,6.8,18.4,1019.8,780,1.8
170,4/24/2015,2015,4,4,24,Käsebrötchen,36,0,0,0,0,0,0,1,0,14.6,8.2,20.2,0.8,0,198,9,35.3,1012.7,684,4.1
172,4/25/2015,2015,4,5,25,Käsebrötchen,41,0,0,0,0,0,0,0,0,12.4,10.1,14.6,3.4,0,220,8.6,25.9,1008.8,18,-2.2
174,4/26/2015,2015,4,6,26,Käsebrötchen,47,0,0,0,0,0,0,0,0,13,10.4,16.6,13.7,0,225,9.7,32.8,1006.6,114,0.6
176,4/27/2015,2015,4,0,27,Käsebrötchen,33,0,0,0,0,0,0,0,0,8.2,4.4,10.4,0,0,24,14.8,37.4,1007.5,0,-4.8
178,4/28/2015,2015,4,1,28,Käsebrötchen,37,1,0,0,0,0,0,0,0,6.7,1.6,11.8,0.1,0,293,10.1,50.8,1016.7,570,-1.5
180,4/29/2015,2015,4,2,29,Käsebrötchen,43,0,0,0,0,0,0,0,0,8.9,2.4,13.2,0.2,0,184,11.5,40,1017.9,426,2.2
182,4/30/2015,2015,4,3,30,Käsebrötchen,40,1,0,0,0,0,0,0,0,8.4,4.4,10.8,4.4,0,219,11.9,36,1012.9,186,-0.5
184,5/1/2015,2015,5,4,1,Käsebrötchen,48,0,0,0,0,0,0,0,1,8.4,3.4,13.6,0,0,326,7.2,23.8,1009.5,636,0
186,5/2/2015,2015,5,5,2,Käsebrötchen,47,0,0,0,0,0,0,0,0,10.7,4.5,15.9,0,0,61,7.9,20.2,1011.6,642,2.3
188,5/3/2015,2015,5,6,3,Käsebrötchen,67,0,0,0,0,0,0,0,0,13.1,8.2,16,8.5,0,144,13,35.3,1004.5,114,2.4
190,5/4/2015,2015,5,0,4,Käsebrötchen,40,0,0,0,0,0,0,0,0,15.6,12.5,19.9,3.5,0,203,12.2,48.2,1007,228,2.5
192,5/5/2015,2015,5,1,5,Käsebrötchen,35,1,0,0,0,0,0,0,0,16.8,11.3,22.7,0.6,0,188,22,72,1002,366,1.2
194,5/6/2015,2015,5,2,6,Käsebrötchen,37,0,0,0,0,0,0,0,0,12.3,8.7,15.9,0.3,0,213,18.4,73.1,1011.8,456,-4.5
196,5/7/2015,2015,5,3,7,Käsebrötchen,34,1,0,0,0,0,0,0,0,11.3,8.9,15.3,0,0,242,15.5,45,1018,198,-1
198,5/8/2015,2015,5,4,8,Käsebrötchen,39,0,0,0,0,0,0,0,0,14.4,9.3,19.3,0,0,129,6.1,22.3,1016,402,3.1
200,5/9/2015,2015,5,5,9,Käsebrötchen,47,0,0,0,0,0,0,0,0,14.5,11.1,18.2,1,0,225,16.6,54.7,1017.4,252,0.1
202,5/10/2015,2015,5,6,10,Käsebrötchen,70,0,0,0,0,0,0,1,0,13.3,7.8,18.2,0,0,243,7.6,28.1,1026.2,816,-1.2
204,5/11/2015,2015,5,0,11,Käsebrötchen,30,0,0,0,0,0,0,0,0,18.9,11.9,24.6,0,0,173,11.9,31.7,1021.5,606,5.6
206,5/12/2015,2015,5,1,12,Käsebrötchen,27,1,0,0,0,0,0,0,0,17.1,8,20.8,0,0,232,11.5,49,1017.6,402,-1.8
208,5/13/2015,2015,5,2,13,Käsebrötchen,36,0,0,0,0,0,0,0,0,13.2,7.8,19.1,0,0,248,9.7,36.7,1018.6,804,-3.9
210,5/14/2015,2015,5,3,14,Käsebrötchen,66,0,0,0,0,0,0,0,1,11.6,5.8,16.7,0,0,39,11.2,28.8,1013.7,732,-1.6
211,5/15/2015,2015,5,4,15,Käsebrötchen,38,0,0,0,0,0,0,0,0,12,7.9,17.1,0,0,16,13.3,33.5,1017.2,690,0.4
213,5/16/2015,2015,5,5,16,Käsebrötchen,33,0,0,0,0,0,0,0,0,9.2,5.5,12,1.7,0,257,10.8,36,1023.6,6,-2.8
215,5/17/2015,2015,5,6,17,Käsebrötchen,42,0,0,0,0,0,0,0,0,11.5,5.5,17,0,0,249,8.6,30.2,1024.4,366,2.3
217,5/18/2015,2015,5,0,18,Käsebrötchen,35,0,0,0,0,0,0,0,0,13.5,7.3,20.2,1.6,0,213,14.8,46.8,1010.3,414,2
218,5/19/2015,2015,5,1,19,Käsebrötchen,25,1,0,0,0,0,0,0,0,10.3,7.6,14.1,1.1,0,230,16.9,53.6,1007.7,312,-3.2
220,5/20/2015,2015,5,2,20,Käsebrötchen,34,0,0,0,0,0,0,0,0,9.7,5.8,14.2,1.1,0,241,10.4,39.2,1014.9,480,-0.6
222,5/21/2015,2015,5,3,21,Käsebrötchen,22,1,0,0,0,0,0,0,0,11.6,5.5,16.6,0,0,258,7.2,28.1,1025.1,468,1.9
224,5/22/2015,2015,5,4,22,Käsebrötchen,31,0,0,0,0,0,1,0,0,14.5,7.6,20.1,0,0,253,5.8,23.4,1025.5,636,2.9
226,5/23/2015,2015,5,5,23,Käsebrötchen,36,0,0,0,0,0,1,0,0,14.1,9.3,19,0,0,338,9,29.9,1021.9,114,-0.4
228,5/24/2015,2015,5,6,24,Käsebrötchen,31,0,0,0,0,0,1,1,0,13.7,8.4,19.1,0.6,0,339,7.2,21.6,1019.5,492,-0.4
230,5/25/2015,2015,5,0,25,Käsebrötchen,61,0,0,0,0,0,1,0,1,12,9.6,16,1.7,0,316,8.3,27.7,1016.1,78,-1.7
232,5/26/2015,2015,5,1,26,Käsebrötchen,33,1,0,0,0,0,0,0,0,10.6,7.6,14.2,0,0,331,11.2,37.4,1021.1,126,-1.4
234,5/27/2015,2015,5,2,27,Käsebrötchen,32,0,0,0,0,0,0,0,0,12.4,8.1,16.9,0,0,234,9,36.7,1023,252,1.8
236,5/28/2015,2015,5,3,28,Käsebrötchen,22,1,0,0,0,0,0,0,0,13.2,10.1,18.5,6.7,0,213,13,49,1014.6,210,0.8
238,5/29/2015,2015,5,4,29,Käsebrötchen,28,0,0,0,0,0,0,0,0,11.9,8,16.5,3.4,0,209,13.7,44.6,1010.6,288,-1.3
240,5/30/2015,2015,5,5,30,Käsebrötchen,42,0,0,0,0,0,0,0,0,9.6,7.1,12.5,3,0,235,11.9,38.9,1014.3,366,-2.3
242,5/31/2015,2015,5,6,31,Käsebrötchen,46,0,0,0,0,0,0,0,0,13.4,8,19.4,9,0,186,15.5,44.3,1012.1,138,3.8
244,6/1/2015,2015,6,0,1,Käsebrötchen,40,0,0,0,0,0,0,0,0,12.9,8.9,17.4,0.3,0,242,8.6,35.6,1015.7,426,-0.5
246,6/2/2015,2015,6,1,2,Käsebrötchen,42,1,0,0,0,0,0,0,0,15.1,10.4,19.3,1.5,0,203,16.9,54.7,1012.6,12,2.2
248,6/3/2015,2015,6,2,3,Käsebrötchen,33,0,0,0,0,0,0,0,0,15.7,12.4,18.3,0,0,260,13.7,40,1021.8,192,0.6
250,6/4/2015,2015,6,3,4,Käsebrötchen,70,0,0,0,0,0,0,0,1,17.1,10.8,22.5,0,0,73,9,25.9,1026.7,810,1.4
252,6/5/2015,2015,6,4,5,Käsebrötchen,33,0,0,0,0,0,0,0,0,23.6,14.7,31.1,3.3,0,147,10.1,40.3,1018.5,810,6.5
254,6/6/2015,2015,6,5,6,Käsebrötchen,42,0,0,0,0,0,0,0,0,17.4,12.5,21,0,0,264,10.8,29.5,1023.5,456,-6.2
256,6/7/2015,2015,6,6,7,Käsebrötchen,45,0,0,0,0,0,0,0,0,15.6,9.4,20.6,0,0,336,9.4,32,1029.4,870,-1.8
258,6/8/2015,2015,6,0,8,Käsebrötchen,32,0,0,0,0,0,0,0,0,13.2,8.9,17.4,0,0,27,19.8,43.6,1029.6,732,-2.4
260,6/9/2015,2015,6,1,9,Käsebrötchen,43,1,0,0,0,0,0,0,0,11.9,7.5,16.2,0,0,35,16.2,45.7,1029.3,414,-1.3
262,6/10/2015,2015,6,2,10,Käsebrötchen,26,0,0,0,0,0,0,0,0,16.1,9.5,21.6,0,0,54,14.8,43.9,1026.1,816,4.2
264,6/11/2015,2015,6,3,11,Käsebrötchen,31,1,0,0,0,0,0,0,0,18.6,12,24.3,0,0,69,13,33.8,1019.7,858,2.5
266,6/12/2015,2015,6,4,12,Käsebrötchen,33,0,0,0,0,0,0,0,0,21.3,13.1,29.1,0,0,115,8.6,29.5,1011.7,732,2.7
268,6/13/2015,2015,6,5,13,Käsebrötchen,40,0,0,0,0,0,0,0,0,18.8,13.7,22.7,2,0,219,13.3,46.4,1010.3,498,-2.5
270,6/14/2015,2015,6,6,14,Käsebrötchen,59,0,0,0,0,0,0,0,0,17,11.7,22.2,0,0,266,9.7,27.7,1011.9,342,-1.8
271,6/15/2015,2015,6,0,15,Käsebrötchen,30,0,0,0,0,0,0,0,0,14.7,10.4,19.2,0,0,27,15.8,36.7,1019.2,498,-2.3
273,6/16/2015,2015,6,1,16,Käsebrötchen,39,1,0,0,0,0,0,0,0,12.1,8,16.7,0,0,30,13.7,30.6,1025,342,-2.6
275,6/17/2015,2015,6,2,17,Käsebrötchen,31,0,0,0,0,0,0,0,0,15.8,6.8,21.3,8.3,0,214,10.1,37.1,1023,678,3.7
277,6/18/2015,2015,6,3,18,Käsebrötchen,34,1,0,0,0,0,0,0,0,15.6,11.3,19.6,0.1,0,279,11.9,36,1016.8,294,-0.2
279,6/19/2015,2015,6,4,19,Käsebrötchen,35,0,0,0,0,0,0,0,0,11.5,9.9,13.7,3.4,0,281,8.3,31,1018.8,6,-4.1
281,6/20/2015,2015,6,5,20,Käsebrötchen,41,0,0,0,0,0,0,0,0,12.1,9.6,15.3,1.4,0,290,7.2,23.4,1020.6,48,0.6
283,6/21/2015,2015,6,6,21,Käsebrötchen,56,0,0,0,0,0,0,0,0,14.3,10.3,19.2,4.5,0,213,9,39.2,1015.9,210,2.2
285,6/22/2015,2015,6,0,22,Käsebrötchen,31,0,0,0,0,0,0,0,0,11.4,9.4,13.1,20.1,0,224,11.5,32.8,1009.4,6,-2.9
287,6/23/2015,2015,6,1,23,Käsebrötchen,39,1,0,0,0,0,0,0,0,11,8.8,14.1,7.9,0,270,9.7,37.1,1013.5,54,-0.4
289,6/24/2015,2015,6,2,24,Käsebrötchen,33,0,0,0,0,0,0,0,0,13.6,10.6,18.8,0,0,233,7.9,25.2,1022.1,210,2.6
291,6/25/2015,2015,6,3,25,Käsebrötchen,32,1,0,0,0,0,0,0,0,18.8,12.8,24.2,0,0,211,8.6,28.1,1022.3,498,5.2
293,6/26/2015,2015,6,4,26,Käsebrötchen,31,0,0,0,0,0,0,0,0,20.6,14.2,25,3.2,0,202,8.3,32,1019,318,1.8
295,6/27/2015,2015,6,5,27,Käsebrötchen,41,0,0,0,0,0,0,0,0,18.6,14.4,22.6,1.6,0,250,11.9,41.4,1017.5,396,-2
297,6/28/2015,2015,6,6,28,Käsebrötchen,41,0,0,0,0,0,0,0,0,18.4,11.2,22.7,0,0,177,6.1,24.5,1021.5,570,-0.2
299,6/29/2015,2015,6,0,29,Käsebrötchen,29,0,0,0,0,0,0,0,0,20.6,16.8,24.6,0,0,265,8.3,24.1,1021.2,636,2.2
301,6/30/2015,2015,6,1,30,Käsebrötchen,48,1,0,0,0,0,0,0,0,21.9,15.3,27.8,0,0,80,9.7,25.9,1021.5,912,1.3
303,7/1/2015,2015,7,2,1,Käsebrötchen,25,0,0,0,0,0,0,0,0,26.7,17.9,33.3,0,0,116,12.6,30.2,1018.1,918,4.8
305,7/2/2015,2015,7,3,2,Käsebrötchen,35,1,1,0,0,0,0,0,0,29.8,21.4,36.1,0.9,0,145,13.7,32.4,1017.9,822,3.1
307,7/3/2015,2015,7,4,3,Käsebrötchen,31,0,1,0,0,0,0,0,0,25.8,19.3,32,0,0,35,9.7,24.8,1023,834,-4
309,7/4/2015,2015,7,5,4,Käsebrötchen,30,0,1,0,0,0,0,0,0,29.2,22.7,35.5,0.6,0,131,11.5,33.5,1018.5,738,3.4
311,7/5/2015,2015,7,6,5,Käsebrötchen,50,0,1,0,0,0,0,0,0,22,16.4,31.2,6.1,0,5,11.5,51.8,1016.9,210,-7.2
313,7/6/2015,2015,7,0,6,Käsebrötchen,34,0,0,0,0,0,0,0,0,19.5,14.2,24.4,0,0,234,9.7,34.6,1020.6,774,-2.5
315,7/7/2015,2015,7,1,7,Käsebrötchen,39,1,0,0,0,0,0,0,0,22.8,14.5,30.5,1,0,176,11.5,41,1010.7,492,3.3
317,7/8/2015,2015,7,2,8,Käsebrötchen,31,0,0,0,0,0,0,0,0,14.8,13.2,18.1,15.7,0,239,17.3,47.2,1010.9,84,-8
319,7/9/2015,2015,7,3,9,Käsebrötchen,35,1,0,0,0,0,0,0,0,13.9,8.9,18.9,0.1,0,291,11.9,43.9,1020.5,366,-0.9
321,7/10/2015,2015,7,4,10,Käsebrötchen,30,0,0,0,0,0,0,0,0,15.8,7.3,22.2,0,0,194,6.5,22,1023.1,882,1.9
323,7/11/2015,2015,7,5,11,Käsebrötchen,29,0,0,0,0,0,0,0,0,21.3,13.6,28,0,0,162,9.4,36.4,1016.2,696,5.5
325,7/12/2015,2015,7,6,12,Käsebrötchen,51,0,0,0,0,0,0,0,0,15.8,14.5,17.4,3.2,0,233,10.1,27.7,1018.6,24,-5.5
327,7/13/2015,2015,7,0,13,Käsebrötchen,35,0,0,0,0,0,0,0,0,16.1,14.7,17.8,11.4,0,231,13.7,36.7,1016.8,0,0.3
329,7/14/2015,2015,7,1,14,Käsebrötchen,32,1,0,0,0,0,0,0,0,17,16,19.8,4.8,0,247,13,37.4,1017,12,0.9
331,7/15/2015,2015,7,2,15,Käsebrötchen,25,0,0,0,0,0,0,0,0,18.8,15.9,23.2,0.2,0,224,6.5,25.2,1019.4,66,1.8
333,7/16/2015,2015,7,3,16,Käsebrötchen,30,1,0,0,0,0,0,0,0,20.8,16.3,26.2,0.2,0,316,7.2,36,1018.1,594,2
